id,created_by,modified_by,created_date,modified_date,active_from,active_to,position_id,payment_date,payment_amount,entity,extract_date,upload_source,scenario_analysis_id,currency_code,is_active_flag
46261,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2027-09-30,6597800.0,AFL,2024-07-31,,,,Yes
46262,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2027-10-31,6597800.0,AFL,2024-07-31,,,,Yes
46263,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2027-11-30,6597800.0,AFL,2024-07-31,,,,Yes
46264,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2027-12-31,6597800.0,AFL,2024-07-31,,,,Yes
46265,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2028-01-31,6597800.0,AFL,2024-07-31,,,,Yes
46266,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2028-02-29,6597800.0,AFL,2024-07-31,,,,Yes
46267,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2028-03-31,6597800.0,AFL,2024-07-31,,,,Yes
46268,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2028-04-30,6597800.0,AFL,2024-07-31,,,,Yes
46269,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2028-05-31,6597800.0,AFL,2024-07-31,,,,Yes
46270,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2028-06-30,6597800.0,AFL,2024-07-31,,,,Yes
46271,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPLA0005876,2029-05-05,1253207.0,AFL,2024-07-31,,,,Yes
46272,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPLA0005876,2029-06-05,1238701.0,AFL,2024-07-31,,,,Yes
46273,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPLA0005876,2029-07-05,1274712.0,AFL,2024-07-31,,,,Yes
46274,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPLA0005876,2029-08-05,1261115.0,AFL,2024-07-31,,,,Yes
46275,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPLA0005876,2029-09-05,1272361.0,AFL,2024-07-31,,,,Yes
46276,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005212,2028-07-31,6597800.0,AFL,2024-07-31,,,,Yes
46277,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005857,2027-08-31,3900000.0,AFL,2024-07-31,,,,Yes
46278,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005857,2027-11-30,3900000.0,AFL,2024-07-31,,,,Yes
46279,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005857,2028-02-29,3900000.0,AFL,2024-07-31,,,,Yes
46280,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0005857,2028-05-31,4500000.0,AFL,2024-07-31,,,,Yes
46281,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0006914,2026-09-30,42900000.0,AFL,2024-07-31,,,,Yes
46282,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0006914,2026-12-31,42900000.0,AFL,2024-07-31,,,,Yes
46283,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0006914,2027-03-31,42900000.0,AFL,2024-07-31,,,,Yes
46284,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0006914,2027-06-30,42900000.0,AFL,2024-07-31,,,,Yes
46285,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0006914,2027-09-30,42900000.0,AFL,2024-07-31,,,,Yes
46286,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPCO0006914,2027-12-31,42900000.0,AFL,2024-07-31,,,,Yes
46287,anil.antarescentral,anil.antarescentral,2025-01-21 12:41:56,2025-01-21 12:41:56,,,SPLA0002350,2032-08-15,723817.0,AFL,2024-07-31,,,,Yes
